mjd,instrument,filter,mag,emag,wave,mag0,tmax_rf,tmax_of,mag0_abs,freq,fratio,fratio_unc,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date
58592.4784,P48+ZTF,g,19.5,0.104,4813.97,19.41957398755756,9.084891804565627,9.278400000002875,-15.417092607764918,622755143883322.9,1468375.2074125258,140652.04872202108,5.331670378114881e-14,5.1070758890965855e-15,33.203251534613834,3.1804577801373934,0.0068972701397420075,0.000660672538494713,8.252550496980302e+37,7.90491509746742e+36,2019-04-19T11:28:53.759999997,2019 04 19
58593.1109,LT+IOO,r,19.41,0.06,6187.58,19.350238305537236,9.704200528740413,9.910900000002584,-15.486428289785241,484506799104011.56,1565205.321992561,86496.44260548039,5.683260524154989e-14,3.140685831004993e-15,27.535783650325207,1.5216836389715518,0.004450170123105513,0.0002459254892820055,5.324607115135409e+37,2.942486632646597e+36,2019-04-20T02:39:41.759999972,2019 04 20
58593.1117,LT+IOO,i,19.41,0.08,7658.73,19.365798849067723,9.704983844124353,9.911700000004203,-15.470867746254754,391438865190442.8,1542933.1092184824,113687.51285674982,5.6023901195723095e-14,4.127993591828586e-15,21.92993230759534,1.6158571270988018,0.0028633901844816755,0.00021098238573481528,3.4260325623372876e+37,2.5243940819680105e+36,2019-04-20T02:40:50.880000112,2019 04 20
58593.1125,LT+IOO,z,19.46,0.12,9669.83,19.430916852299834,9.705767159508293,9.91250000000582,-15.405749743022643,310028674754364.9,1453114.703359051,160604.17220952074,5.276259487896714e-14,5.831537492927698e-15,16.357917366927623,1.8079438407127655,0.0016916447721343213,0.00018696748967797424,2.0240448209432336e+37,2.2370570074827318e+36,2019-04-20T02:42:00.000000251,2019 04 20
58593.4315,P48+ZTF,r,19.437,0.058,6421.81,19.379741463460693,10.01811416821863,10.231500000001688,-15.456925131861784,466834830055700.75,1523246.022417484,81371.76315299858,5.530906307397885e-14,2.9546087200853784e-15,25.82019706068095,1.379314259722149,0.004020703985431046,0.0002147859029965304,4.810752950212967e+37,2.5699029827831013e+36,2019-04-20T10:21:21.599999894,2019 04 20
58593.4841,P48+ZTF,g,19.776,0.17,4813.97,19.69557398755756,10.069617154611182,10.2841000000044,-15.141092607764918,622755143883322.9,1138772.6893146737,178304.2292732801,4.13488363490158e-14,6.4742265649128e-15,25.750200529939306,4.031857895965502,0.005349057125395319,0.0008375328254986013,6.400121083296927e+37,1.0021039911834358e+37,2019-04-20T11:37:06.240000129,2019 04 20
58594.1142,LT+IOO,g,19.69,0.2,4795.5,19.609165092090457,10.68657593264127,10.914200000006531,-15.22750150323202,625153702429360.8,1233106.540498084,227146.61905794774,4.4774098485485425e-14,8.247693737994083e-15,27.990693441138045,5.156076276810455,0.005836866529274955,0.0010751905488083527,6.983782685185286e+37,1.2864603122894056e+37,2019-04-21T02:44:26.880000313,2019 04 21
58594.115,LT+IOO,r,19.5,0.08,6187.58,19.440238305537235,10.687359248018087,10.915000000000873,-15.396428289785241,484506799104011.56,1440692.5683338388,106154.1514058497,5.231154715620169e-14,3.8544572375464024e-15,25.34530026882984,1.867510738446898,0.004096157184041231,0.0003018160150570818,4.901032338880281e+37,3.611214081211993e+36,2019-04-21T02:45:35.999999824,2019 04 21
58594.1158,LT+IOO,i,19.48,0.08,7658.73,19.435798849067723,10.688142563402026,10.915800000002491,-15.400867746254754,391438865190442.8,1446595.4624312671,106589.09271638605,5.252588124087931e-14,3.8702499565319775e-15,20.560671346057767,1.5149662509882378,0.002684605847974503,0.00019780906899554337,3.21211796493836e+37,2.3667759817617402e+36,2019-04-21T02:46:45.119999964,2019 04 21
58594.1167,LT+IOO,z,19.52,0.16,9669.83,19.490916852299833,10.689023793206289,10.916700000001583,-15.345749743022644,310028674754364.9,1374991.1320453675,202626.18135338693,4.992592800456729e-14,7.357356644941479e-15,15.47846929513783,2.280991530326427,0.0016006971472236667,0.00023588744893409988,1.9152264258464634e+37,2.822381963431894e+36,2019-04-21T02:48:02.879999885,2019 04 21
58595.0926,LT+IOO,g,19.82,0.1,4795.5,19.739165092090456,11.644570645262405,11.892600000006496,-15.09750150323202,625153702429360.8,1093957.8808862076,100757.2443556775,3.97216106549782e-14,3.65849554255465e-15,24.832111967417166,2.2871220337493523,0.005178211232909429,0.00047693087973086273,6.195704795928747e+37,5.706455001478898e+36,2019-04-22T02:13:20.640000310,2019 04 22
58595.0935,LT+IOO,r,19.6,0.07,6187.58,19.540238305537237,11.645451875066668,11.893500000005588,-15.29642828978524,484506799104011.56,1313927.238499963,84712.01963416772,4.7708698029933656e-14,3.07589343291663e-15,23.11518857190302,1.490291281567486,0.003735739751551175,0.00024085204257035642,4.469794617092654e+37,2.88178308713752e+36,2019-04-22T02:14:38.400000231,2019 04 22
58595.0943,LT+IOO,i,19.45,0.07,7658.73,19.405798849067722,11.646235190443482,11.89429999999993,-15.430867746254755,391438865190442.8,1487123.712175147,95878.40895058891,5.3997461989079584e-14,3.4813450289958836e-15,21.136705244169384,1.362733747486538,0.002759818565763434,0.00017793207848906256,3.302109619461478e+37,2.1289487478571874e+36,2019-04-22T02:15:47.519999743,2019 04 22
58595.0951,LT+IOO,z,19.55,0.11,9669.83,19.520916852299834,11.647018505827424,11.895100000001548,-15.315749743022643,310028674754364.9,1337518.8064150761,135509.0380710239,4.8565307860931415e-14,4.920333172358878e-15,15.056638035162305,1.525444372776363,0.0015570737060695281,0.00015775296698870226,1.863031188646425e+37,1.887506650814504e+36,2019-04-22T02:16:56.639999882,2019 04 22
58596.138,LT+IOO,g,20.1,0.11,4795.5,20.019165092090457,12.668168021151395,12.93800000000192,-14.81750150323202,625153702429360.8,845280.0154732076,85638.4831735129,3.069211736183217e-14,3.1095333240302533e-15,19.187290804145842,1.94393627034499,0.004001103285193586,0.00040536675432071526,4.787300806798462e+37,4.850193688301503e+36,2019-04-23T03:18:43.199999915,2019 04 23
58596.1388,LT+IOO,r,19.75,0.06,6187.58,19.690238305537235,12.668951336535335,12.938800000003539,-15.146428289785241,484506799104011.56,1144382.7845850105,63240.92977114708,4.155253890828173e-14,2.2962781599903505e-15,20.13248762109648,1.1125623811493741,0.0032536933051526577,0.0001798057368388569,3.893028366069394e+37,2.151366979755445e+36,2019-04-23T03:19:52.320000054,2019 04 23
58596.1396,LT+IOO,i,19.66,0.08,7658.73,19.615798849067723,12.669734651919276,12.939600000005157,-15.220867746254754,391438865190442.8,1225595.3329431652,90305.20139769622,4.450136653916633e-14,3.2789818627503497e-15,17.41956441751521,1.283520939335041,0.002274471670566166,0.00016758926601865336,2.721394397349287e+37,2.0051974948780742e+36,2019-04-23T03:21:01.440000194,2019 04 23
58596.1405,LT+IOO,z,19.71,0.16,9669.83,19.680916852299834,12.670615881723537,12.94050000000425,-15.155749743022643,310028674754364.9,1154250.0371710937,170096.57146739095,4.1910818849682415e-14,6.176206509980966e-15,12.993555625837294,1.9148011192986798,0.0013437212056300156,0.0001980180747023143,1.6077559496226643e+37,2.369276724975125e+36,2019-04-23T03:22:19.200000116,2019 04 23
58596.3822,P48+ZTF,i,19.662,0.16,7883.06,19.62009155747314,12.90727504161649,13.182200000002922,-15.216575037849339,380299601931229.75,1220759.2258614986,179897.72771863284,4.432576749103102e-14,6.532086493463558e-15,16.857071732135342,2.484149893244554,0.0021383919102652194,0.0003151250774755683,2.558575619666535e+37,3.770456371930986e+36,2019-04-23T09:10:22.080000001,2019 04 23
58596.3929,P48+ZTF,r,19.68,0.051,6421.81,19.62274146346069,12.917751884854427,13.192900000001828,-15.213925131861785,466834830055700.75,1217783.408397078,57202.618422480075,4.4217715558897905e-14,2.0770270749202516e-15,20.64236972838942,0.9696285815414849,0.0032144161425500624,0.00015098992052731003,3.846033430219578e+37,1.806587125690393e+36,2019-04-23T09:25:46.559999906,2019 04 23
58596.4781,P48+ZTF,g,20.111,0.081,4813.97,20.03057398755756,13.001174973076644,13.278100000003178,-14.806092607764917,622755143883322.9,836444.3329802008,62401.88977256169,3.037129373051109e-14,2.265812617641715e-15,18.913879397067095,1.4110464627121146,0.00392895664016749,0.0002931149264976962,4.700977693566328e+37,3.507105975743888e+36,2019-04-23T11:28:27.840000023,2019 04 23
58597.1508,LT+IOO,g,20.12,0.07,4795.5,20.039165092090457,13.659845295217842,13.950800000005984,-14.79750150323202,625153702429360.8,829851.916466722,53502.5302629668,3.013192308690668e-14,1.9426768738483246e-15,18.837083279096444,1.2144716403101763,0.003928074920049305,0.00025325234914194065,4.699922719692301e+37,3.030152157924508e+36,2019-04-24T03:37:09.120000266,2019 04 24
58597.1516,LT+IOO,r,19.77,0.05,6187.58,19.710238305537235,13.660628610594658,13.951600000000326,-15.126428289785242,484506799104011.56,1123495.444793816,51738.87726457911,4.079411960046346e-14,1.8786386334768677e-15,19.76502830988677,0.9102131909790115,0.003194306709551516,0.00014710326023728364,3.8219725905070787e+37,1.7600834225466872e+36,2019-04-24T03:38:18.239999777,2019 04 24
58597.1539,LT+IOO,i,19.69,0.07,7658.73,19.645798849067724,13.662880642319035,13.95390000000043,-15.190867746254753,391438865190442.8,1192194.4575944678,76863.61720820003,4.328858075525513e-14,2.7909179408297432e-15,16.94483292654191,1.092473751598042,0.0022124860031025916,0.00014264424409765616,2.647228844823703e+37,1.706731509233774e+36,2019-04-24T03:41:36.959999786,2019 04 24
58597.1547,LT+IOO,z,19.95,0.15,9669.83,19.920916852299833,13.663663957702974,13.954700000002049,-14.915749743022644,310028674754364.9,925336.9344644808,127840.02187768332,3.35989840904053e-14,4.641871194378682e-15,10.416648510641345,1.4391131747736836,0.0010772318138624302,0.00014882507497791415,1.2889026760935187e+37,1.780684852975842e+36,2019-04-24T03:42:46.079999926,2019 04 24
58597.405,P48+ZTF,r,19.845,0.057,6421.81,19.78774146346069,13.908743757957255,14.205000000001746,-15.048925131861786,466834830055700.75,1046092.41407802,54918.74300694464,3.798361555517291e-14,1.99409955858216e-15,17.732074712600216,0.9309151285448506,0.002761226930195726,0.00014496148726680648,3.303794720720405e+37,1.7344572121274566e+36,2019-04-24T09:43:11.999999899,2019 04 24
58597.4728,P48+ZTF,g,20.528,0.181,4813.97,20.447573987557558,13.975129736616175,14.2728000000061,-14.389092607764919,622755143883322.9,569687.9627488045,94971.06277348862,2.068536992740909e-14,3.448399289305372e-15,12.881920525423409,2.1475083955785155,0.0026759453269179926,0.0004460992477266197,3.201755693213319e+37,5.337556009755708e+36,2019-04-24T11:20:49.920000276,2019 04 24
58598.1207,LT+IOO,g,20.37,0.17,4795.5,20.289165092090457,14.60951728189797,14.920700000002398,-14.54750150323202,625153702429360.8,659174.8078895737,103210.81387001475,2.3934637274470423e-14,3.747584651620236e-15,14.962827108438969,2.3428164201278365,0.00312018081710749,0.0004885447649104027,3.7332813172737326e+37,5.845414578193216e+36,2019-04-25T02:53:48.479999956,2019 04 25
58598.1218,LT+IOO,r,19.89,0.06,6187.58,19.830238305537236,14.610594340549998,14.921800000003714,-15.00642828978524,484506799104011.56,1005938.2355238494,55590.201254158776,3.652561733187097e-14,2.018480207538505e-15,17.69690993876281,0.977967384409282,0.002860069678091081,0.00015805329133672323,3.422059592436336e+37,1.8911000171714848e+36,2019-04-25T02:55:23.520000069,2019 04 25
58598.1247,LT+IOO,i,19.73,0.08,7658.73,19.685798849067723,14.613433858810547,14.924700000003213,-15.150867746254754,391438865190442.8,1149071.620033185,84666.72585826977,4.1722790523404945e-14,3.0742488159137755e-15,16.33192177506019,1.2033804678143507,0.0021324582241520713,0.0001571253285876837,2.5514759928156405e+37,1.879996987580633e+36,2019-04-25T02:59:34.080000026,2019 04 25
58598.1257,LT+IOO,z,20.13,0.3,9669.83,20.100916852299832,14.614413003035128,14.925699999999779,-14.735749743022645,310028674754364.9,783970.8181951285,216619.14231821377,2.8465980408665115e-14,7.865441057574342e-15,8.825270181682159,2.4385122674383433,0.0009126603240886509,0.00025217736686563707,1.0919936813456065e+37,3.0172900467721005e+36,2019-04-25T03:01:00.479999729,2019 04 25
58598.361,P48+ZTF,r,19.962,0.092,6421.81,19.90474146346069,14.844805639870808,15.161000000000058,-14.931925131861785,466834830055700.75,939225.884028004,79585.42871822693,3.4103291849056825e-14,2.88974691675882e-15,15.920604454694407,1.3490345107890889,0.002479145981381325,0.00021007076054711815,2.9662862242916952e+37,2.5134865305116148e+36,2019-04-25T08:39:50.399999754,2019 04 25
58599.1894,LT+IOO,g,20.42,0.08,4795.5,20.339165092090457,15.655928718305926,15.989400000005844,-14.49750150323202,625153702429360.8,629507.0544266467,46383.79390263642,2.285740114623154e-14,1.6841955566047283e-15,14.289388954479762,1.052881087826524,0.002979749547383956,0.0002195560604371857,3.565255979528751e+37,2.6269776867746523e+36,2019-04-26T04:32:44.160000253,2019 04 26
58599.1918,LT+IOO,z,20.17,0.12,9669.83,20.140916852299835,15.658278664450624,15.991800000003423,-14.695749743022642,310028674754364.9,755613.8282506944,83513.52657553018,2.7436338103782715e-14,3.032376149957501e-15,8.50605154242844,0.9401235591280672,0.0008796485090666992,9.722234611446811e-05,1.052495203694879e+37,1.1632606879082688e+36,2019-04-26T04:36:11.520000044,2019 04 26
58599.2766,P48+ZTF,g,20.466,0.077,4813.97,20.38557398755756,15.741310094977308,16.076600000000326,-14.451092607764917,622755143883322.9,603166.264432174,42776.32279161561,2.190096706153224e-14,1.5532082805635628e-15,13.638939893588425,0.96726844624313,0.002833200018610092,0.00020092947115231917,3.3899101743026535e+37,2.4041114432529466e+36,2019-04-26T06:38:18.239999777,2019 04 26
58599.4846,P48+ZTF,r,19.966,0.059,6421.81,19.908741463460693,15.944972094395691,16.28460000000632,-14.927925131861784,466834830055700.75,935772.0141667549,50850.79469016864,3.397788183439487e-14,1.846392355200023e-15,15.862058691812411,0.8619602613559478,0.0024700292739605204,0.00013422388101733745,2.9553781277792978e+37,1.6059822705997222e+36,2019-04-26T11:37:49.440000295,2019 04 26
58600.4715,P48+ZTF,r,20.081,0.101,6421.81,20.02374146346069,16.91128953295071,17.27150000000256,-14.812925131861785,466834830055700.75,841724.6636064871,78300.9635781593,3.056302253555155e-14,2.843107987522964e-15,14.267883431372761,1.3272618341852882,0.0022217853582358806,0.00020668033376653749,2.6583554784442463e+37,2.472920237404089e+36,2019-04-27T11:18:57.599999970,2019 04 27
58601.1606,LT+IOO,i,20.38,0.1,7658.73,20.33579884906772,17.586017820430623,17.960600000005797,-14.500867746254755,391438865190442.8,631461.8221980332,58159.78314352192,2.2928378764010586e-14,2.111781725941281e-15,8.975058564040951,0.8266334423323697,0.0011718729559654084,0.00010793348797155269,1.4021403467186584e+37,1.2914189842559542e+36,2019-04-28T03:51:15.840000249,2019 04 28
58605.4333,P48+ZTF,r,20.73,0.079,6421.81,20.672741463460692,21.769607363164468,22.233299999999872,-14.163925131861784,466834830055700.75,462988.3388876806,33687.81349635002,1.6811106585011683e-14,1.2232045080524693e-15,7.848010085662201,0.5710344686400415,0.0012220869327591755,8.892110925736536e-05,1.462221128063879e+37,1.0639367887965006e+36,2019-05-02T10:23:57.119999737,2019 05 02
58607.0861,LT+IOO,r,21.22,0.11,6187.58,21.160238305537234,23.387936943115,23.886100000003353,-13.676428289785242,484506799104011.56,295509.41074814386,29939.164817237743,1.0729946704265103e-14,1.0870910745139024e-15,5.198732132240123,0.5267030168472714,0.0008401882694430009,8.512261931922842e-05,1.005281217071224e+37,1.0184880396658494e+36,2019-05-04T02:03:59.040000038,2019 05 04
58607.089,LT+IOO,i,20.88,0.1,7658.73,20.83579884906772,23.39077646137555,23.889000000002852,-14.000867746254755,391438865190442.8,398425.4744746956,36696.342327780556,1.4466828978176198e-14,1.332444189921712e-15,5.662879118121504,0.5215704416325537,0.0007394018483640897,6.810142695101587e-05,8.846907497541436e+36,8.148302929174466e+35,2019-05-04T02:08:09.599999995,2019 05 04
58607.09,LT+IOO,z,20.72,0.16,9669.83,20.690916852299832,23.39175560560013,23.889999999999418,-14.145749743022645,310028674754364.9,455302.35558280046,67095.83467328196,1.6532028531211484e-14,2.4362497569868682e-15,5.1254028965328455,0.7553072835292822,0.0005300406415141575,7.810967550921601e-05,6.341910742836347e+36,9.345785048034412e+35,2019-05-04T02:09:35.999999698,2019 05 04
58607.3705,P48+ZTF,r,20.692,0.087,6421.81,20.634741463460692,23.666405561539385,24.170500000000175,-14.201925131861785,466834830055700.75,479479.5099026173,38420.67454204544,1.7409901004564034e-14,1.39505469262167e-15,8.127548176752224,0.6512601203484452,0.0012656164191641023,0.00010141379460750864,1.5143039488590802e+37,1.2134111672189178e+36,2019-05-04T08:53:31.199999764,2019 05 04
58608.4033,P48+ZTF,r,20.639,0.128,6421.81,20.58174146346069,24.677665720161592,25.203300000001036,-14.254925131861786,466834830055700.75,503465.89054479555,59354.78038525021,1.8280846485681526e-14,2.1551720757884352e-15,8.53413586241749,1.006109389741486,0.0013289299842906422,0.00015667068781877473,1.5900583245417135e+37,1.8745572326813885e+36,2019-05-05T09:40:45.119999838,2019 05 05
58610.1965,LT+IOO,g,21.86,0.19,4795.5,21.779165092090455,26.433467149712232,26.996500000001106,-13.057501503232022,625153702429360.8,167109.29279838197,29243.5358538732,6.067738421509249e-15,1.061832786854136e-15,3.7932691395793925,0.6638086980627493,0.000791005972177957,0.00013842325056047323,9.4643483531236e+36,1.6562275248931917e+36,2019-05-07T04:42:57.599999844,2019 05 07
58610.1974,LT+IOO,r,21.36,0.21,6187.58,21.300238305537235,26.434348379516493,26.997400000000198,-13.536428289785242,484506799104011.56,259759.42598304496,50241.92729079296,9.431864757444363e-15,1.8242843799286926e-15,4.569802603211302,0.8838781855746973,0.0007385444072175717,0.00014284715277615762,8.836648255527618e+36,1.709159301797618e+36,2019-05-07T04:44:15.359999766,2019 05 07
58610.1982,LT+IOO,i,21.28,0.19,7658.73,21.235798849067724,26.435131694900434,26.998200000001816,-13.600867746254753,391438865190442.8,275643.082844666,48236.56566942385,1.0008600338089822e-14,1.75146969945678e-15,3.917755158486562,0.6855933115708079,0.0005115410986529833,8.951788502412384e-05,6.120564603654095e+36,1.0710771820981508e+36,2019-05-07T04:45:24.479999905,2019 05 07
58610.199,LT+IOO,z,20.92,0.42,9669.83,20.890916852299835,26.435915010284376,26.999000000003434,-13.945749743022642,310028674754364.9,378704.00427147775,146495.69674196656,1.3750742395097357e-14,5.319258748700806e-15,4.263124441640695,1.649122740535272,0.00044086860282349275,0.00017054309543552181,5.274971595458079e+36,2.040539921560357e+36,2019-05-07T04:46:33.600000045,2019 05 07
58611.1743,LT+IOO,g,21.77,0.23,4795.5,21.689165092090455,27.390874375797193,27.974300000001676,-13.147501503232021,625153702429360.8,181551.81764068874,38459.54281929895,6.5921464985334085e-15,1.396465999768745e-15,4.121104790514907,0.8730058900721498,0.0008593691566082591,0.000182046896063424,1.0282310561671445e+37,2.1781823419172714e+36,2019-05-08T04:10:59.519999893,2019 05 08
58611.1751,LT+IOO,r,21.52,0.19,6187.58,21.460238305537235,27.391657691181134,27.975100000003295,-13.376428289785242,484506799104011.56,224166.81220362993,39228.400169429624,8.139496951113803e-15,1.4243832101519897e-15,3.94364161410101,0.6901233498482372,0.000637347980002038,0.00011153364479299456,7.625837878682755e+36,1.3344946871993632e+36,2019-05-08T04:12:08.640000033,2019 05 08
58611.1759,LT+IOO,i,21.1,0.12,7658.73,21.055798849067724,27.392441006565075,27.975900000004913,-13.780867746254753,391438865190442.8,325347.21875621856,35958.7034858468,1.1813357513038297e-14,1.3056605235710975e-15,4.624207258992702,0.5110862736706299,0.0006037825147240733,6.673250965507727e-05,7.224228703532479e+36,7.984512634144125e+35,2019-05-08T04:13:17.760000173,2019 05 08
58611.1767,LT+IOO,z,20.72,0.21,9669.83,20.690916852299832,27.393224321949013,27.97670000000653,-14.145749743022645,310028674754364.9,455302.35558280046,88063.28300868259,1.6532028531211484e-14,3.1975778060452645e-15,5.1254028965328455,0.991340809632183,0.0005300406415141575,0.00010251894910584601,6.341910742836347e+36,1.2266342875545166e+36,2019-05-08T04:14:26.880000313,2019 05 08
58612.4016,P48+ZTF,g,21.783,0.217,4813.97,21.70257398755756,28.592578086752496,29.201600000000326,-13.134092607764916,622755143883322.9,179323.43243063596,35840.36773105188,6.511233831556392e-15,1.3013637523144939e-15,4.054904361628861,0.8104309708171535,0.0008423202391433392,0.0001683498174723053,1.0078321085476499e+37,2.0142974563840755e+36,2019-05-09T09:38:18.239999777,2019 05 09
58612.4549,P48+ZTF,r,21.226,0.111,6421.81,21.16874146346069,28.64476647410154,29.254899999999907,-13.667925131861786,466834830055700.75,293204.1093202738,29975.657062850383,1.0646241209419142e-14,1.0884161079520975e-15,4.970036205731183,0.5081105487857047,0.0007739307462742097,7.912263813250543e-05,9.260044097725404e+36,9.46698553795117e+35,2019-05-09T10:55:03.359999741,2019 05 09
58616.4117,P48+ZTF,r,20.941,0.088,6421.81,20.88374146346069,32.51904435523336,33.21169999999984,-13.952925131861786,466834830055700.75,381215.063092567,30897.860276860876,1.3841918940891109e-14,1.1219013066528185e-15,6.461889876415686,0.5237426058305371,0.0010062412118103286,8.155685170232957e-05,1.20396276271093e+37,9.758238018982164e+35,2019-05-13T09:52:50.879999734,2019 05 13
58616.4688,P48+ZTF,g,21.662,0.156,4813.97,21.581573987557558,32.574953490654345,33.268800000005285,-13.255092607764919,622755143883322.9,200464.30059052,28802.97327755383,7.278858754441781e-15,1.0458359597079795e-15,4.532946730928776,0.6512997235662958,0.0009416233858808376,0.0001352936814243329,1.126647845260393e+37,1.6187823809354763e+36,2019-05-13T11:15:04.320000205,2019 05 13
58617.338,P48+ZTF,r,21.017,0.171,6421.81,20.95974146346069,33.42602565358492,34.138000000006286,-13.876925131861785,466834830055700.75,355443.071184755,55981.153530873824,1.2906137914718455e-14,2.0326756847060287e-15,6.025034700093026,0.948923807828094,0.0009382144130849442,0.00014776578687754604,1.1225690257316575e+37,1.7680105218824898e+36,2019-05-14T08:06:43.200000292,2019 05 14
58627.3911,P48+ZTF,r,21.581,0.214,6421.81,21.52374146346069,43.26946049153397,44.191100000003644,-13.312925131861785,466834830055700.75,211431.6761580098,41673.454840620034,7.677084161297335e-15,1.5131631452629135e-15,3.583930279762553,0.7063972597653618,0.0005580872495079351,0.00010999971343988093,6.677487056433248e+36,1.3161412724512131e+36,2019-05-24T09:23:11.040000063,2019 05 24
58635.3518,P48+ZTF,r,21.946,0.193,6421.81,21.888741463460693,51.06413394693003,52.15179999999964,-12.947925131861783,466834830055700.75,151067.15583088543,26853.632537616253,5.48524842821945e-15,9.750553974408462e-16,2.560705017801127,0.4551898207591912,0.00039875128940300734,7.08818574139053e-05,4.771039969238342e+36,8.480980094682668e+35,2019-06-01T08:26:35.519999717,2019 06 01
58637.8263,P48+ZTF,r,22.272,0.16,6421.81,22.21474146346069,53.48702633898319,54.62630000000354,-12.621925131861786,466834830055700.75,111884.53280808071,16487.914072351352,4.0625273862614105e-15,5.986761599670776e-16,1.8965292819619757,0.2794828833966302,0.000295326283705369,4.352088949947603e-05,3.533564758209183e+36,5.207253463924208e+35,2019-06-03T19:49:52.320000054,2019 06 03
58642.3119,P48+ZTF,r,22.395,0.171,6421.81,22.33774146346069,57.87907568785226,59.111900000003516,-12.498925131861785,466834830055700.75,99901.04997377741,15734.097721574599,3.627407124547858e-15,5.713050882703737e-16,1.6933999885311375,0.266705113792657,0.0002636951246659645,4.153114367953225e-05,3.155099464024744e+36,4.969181335059385e+35,2019-06-08T07:29:08.160000052,2019 06 08
